SEMS_ACTIVE_SITES.RG,SEMS_ACTIVE_SITES.SITE_ID,SEMS_ACTIVE_SITES.SITE_EPA_ID,SEMS_ACTIVE_SITES.SITE_NAME,SEMS_ACTIVE_SITES.SITE_STRT_ADRS1,SEMS_ACTIVE_SITES.SITE_STRT_ADRS2,SEMS_ACTIVE_SITES.SITE_CITY_NAME,SEMS_ACTIVE_SITES.SITE_STATE,SEMS_ACTIVE_SITES.SITE_ZIP_CODE,SEMS_ACTIVE_SITES.SITE_CONG_DISTRICT,SEMS_ACTIVE_SITES.SITE_CNTY_NAME,SEMS_ACTIVE_SITES.SITE_FIPS_CODE,SEMS_ACTIVE_SITES.LATITUDE,SEMS_ACTIVE_SITES.LONGITUDE,SEMS_ACTIVE_SITES.ALT_AGREEMENT,SEMS_ACTIVE_SITES.NPL,SEMS_ACTIVE_SITES.FF,SEMS_ACTIVE_SITES.NON_NPL_STATUS
1,100144,CTD043211101,HIGHLINE PRODUCTS,330 BOSTON POST ROAD,,OLD SAYBROOK,CT,6475,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100146,CTD044122018,CONNECTICUT ENGINEERING ASSOC CORP,PHILO CURTIS ROAD,,NEWTOWN,CT,6470,5,FAIRFIELD,9001,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,100147,CTD044122083,SUPERIOR STEEL PRODUCTS CORPORATION,PECK LANE,,CHESHIRE,CT,6410,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101920,CTD045104858,"CUNO, INC.",400 RESEARCH PARKWAY,,MERIDEN,CT,6450,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100148,CTD045110913,INTERROYAL CORPORATION,20 RESERVOIR STREET,,PLAINFIELD,CT,06374-1234,2,WINDHAM,9015,,,N,Not on the NPL,N,"Referred to Removal - NFRAP"
1,102389,CTD046422887,PERKIN ELMER CHROM DIVISION,761 MAIN STREET,,NORWALK,CT,6856,4,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,102190,CTD048339592,ROLFITE - CANAL STREET,131 CANAL STREET,,SHELTON,CT,6484,3,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101565,CTD049589294,MIKON PRODUCTS,339 CHRISTIAN RD,,OXFORD,CT,6483,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101569,CTD049592678,SATIN AMERICAN CORPORATION,40 OLIVER TERRACE,,SHELTON,CT,6484,5,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100156,CTD051316313,PRECISION PLATING CORP.,1050 HARTFORD TURNPIKE ROAD,,VERNON,CT,06066-4413,2,TOLLAND,9013,41.84975,-72.447911,N,Currently on the Final NPL,N,
