INDEX,SEMS_ACTIVE_SITES.RG,SEMS_ACTIVE_SITES.SITE_ID,SEMS_ACTIVE_SITES.SITE_EPA_ID,SEMS_ACTIVE_SITES.SITE_NAME,SEMS_ACTIVE_SITES.SITE_STRT_ADRS1,SEMS_ACTIVE_SITES.SITE_STRT_ADRS2,SEMS_ACTIVE_SITES.SITE_CITY_NAME,SEMS_ACTIVE_SITES.SITE_STATE,SEMS_ACTIVE_SITES.SITE_ZIP_CODE,SEMS_ACTIVE_SITES.SITE_CONG_DISTRICT,SEMS_ACTIVE_SITES.SITE_CNTY_NAME,SEMS_ACTIVE_SITES.SITE_FIPS_CODE,FIPS_CODE,SEMS_ACTIVE_SITES.LATITUDE,SEMS_ACTIVE_SITES.LONGITUDE,SEMS_ACTIVE_SITES.ALT_AGREEMENT,SEMS_ACTIVE_SITES.NPL,SEMS_ACTIVE_SITES.FF,SEMS_ACTIVE_SITES.NON_NPL_STATUS
556,1,103157,NHN000103157,ORE HILL MINE SITE,719 MAIN STREET,,WARREN,NH,3246,,GRAFTON,33009,33009,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
721,1,102571,ME3570026051,MAINE AIR NATIONAL GUARD-BIA,BANGOR INT. AIRPORT RT 222/GODFREY BLVD,,BANGOR,ME,4401,2,PENOBSCOT,23019,23019,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
781,1,101213,NH7570024847,PEASE AIR FORCE BASE,509 CSG/CC,,PORTSMOUTH/NEWINGTON,NH,3803,1,ROCKINGHAM,33015,33015,43.080169,-70.82125,N,Currently on the Final NPL,Y,
782,1,102289,NH8210022556,US ARMY COLD REG RESEARCH & ENGINEER LAB,ROUTE 10,,HANOVER,NH,3755,2,GRAFTON,33009,33009,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
806,1,102052,NHD510204837,FWS-GREAT BAY NATIONAL WILDLIFE REFUGE,100 MERRIMAC DRIVE,,NEWINGTON,NH,3801,,ROCKINGHAM,33015,33015,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
950,2,200651,NJ4690308933,U.S. COAST GUARD TRAINING CENTER,1 Munro Avenue ,,CAPE MAY,NJ,8204,,CAPE MAY,34009,34009,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
1656,2,206309,NJR000052936,ELLIS ISLAND NATIONAL MONUMENT,ELLIS ISLAND ,,JERSEY CITY,NJ,7305,,HUDSON,34017,34017,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
1787,2,206696,NYD135495604,VA HUDSON VALLEY HEALTH CARE SYSTEM - MONTROSE,2094 ALBANY POST ROAD,,MONTROSE,NY,10548,,WESTCHESTER,36119,36119,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
1832,2,204545,NY4210021412,MAJOR O'DONOVAN AFR CENTER,90 N. MAIN STREET,,ALBANY,NY,12203,,ALBANY,36001,36001,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
1841,2,200646,NY9360010251,CANANDAIGUA VA MEDICAL CENTER,400 Fort Hill Avenue,,CANANDAIGUA,NY,14424,,ONTARIO,36069,36069,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
